LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
GCA_003149495.1,Gemmata obscuriglobus 
GCA_008065095.1,Gemmata obscuriglobus 
GCA_013822725.1,Pirellula sp. PB1.3.31
GCA_013822735.1,Pirellula sp. PB1.007
GCA_002341435.1,Gimesia maris UBA2506
GCA_003526145.1,Gimesia maris UBA9375
GCA_007746295.1,Gimesia maris 
GCA_007747015.1,Gimesia maris 
GCA_008298035.1,Gimesia maris 
GCA_009720545.1,Gimesia maris 
GCA_002967715.1,Blastopirellula marina 
GCA_002967725.1,Blastopirellula marina 
GCA_002967755.1,Blastopirellula marina 
GCA_002967765.1,Blastopirellula marina 
GCA_003044115.1,Blastopirellula marina 
GCA_002702685.1,Planctomyces sp. NAT128
GCA_002709545.1,Planctomyces sp. SP155
GCA_002726855.1,Planctomyces sp. NP88
GCA_005776685.1,Planctomyces sp. F1-120-MAGs229
GCA_005778115.1,Planctomyces sp. F1-120-MAGs108
GCA_005778225.1,Planctomyces sp. F1-120-MAGs242
GCA_005779075.1,Planctomyces sp. F1-120-MAGs109
GCA_005790305.1,Planctomyces sp. F1-140-MAGs161
GCA_005791255.1,Planctomyces sp. F1-20-MAGs055
GCA_005798445.1,Planctomyces sp. F1-80-MAGs005
GCA_005798485.1,Planctomyces sp. F1-80-MAGs004
GCA_005799905.1,Planctomyces sp. F1-60-MAGs073
GCA_005800415.1,Planctomyces sp. F1-60-MAGs074
GCA_005809115.1,Planctomyces sp. F1-80-MAGs062
GCA_013822855.1,Planctomyces sp. DS3.3.33
GCA_013822975.1,Planctomyces sp. DS3.008
GCA_013823105.1,Planctomyces sp. DS2.017
GCA_016795105.1,Planctomyces sp. new MAG-38
GCA_013822085.1,Isosphaera sp. WM.009
GCA_013822345.1,Isosphaera sp. PR.3.33
GCA_000317535.1,Cylindrospermum stagnale PCC 7417 
GCA_903821205.1,uncultured Planctomycetaceae bacterium LaPlata-1m-b_bin-724
GCA_903821275.1,uncultured Planctomycetaceae bacterium UppL5_bin-0911
GCA_903821325.1,uncultured Planctomycetaceae bacterium UppL5_bin-0303
