LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
000315115v1_02789,Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1  (000315115v1_02789)
000315115v1_02790,Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1  (000315115v1_02790)
000315115v1_02791,Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1  (000315115v1_02791)
016209685v1_01269,Planctomycetes bacterium NC_groundwater_1467_Ag_S-0.65um_52_288 (016209685v1_01269)
016209685v1_01268,Planctomycetes bacterium NC_groundwater_1467_Ag_S-0.65um_52_288 (016209685v1_01268)
014584675v1_00959,Candidatus Kuenenia stuttgartiensis BJ3 (014584675v1_00959)
014584675v1_00958,Candidatus Kuenenia stuttgartiensis BJ3 (014584675v1_00958)
014584675v1_00957,Candidatus Kuenenia stuttgartiensis BJ3 (014584675v1_00957)
002050325v1_01585,Candidatus Brocadia sp. UTAMX1 UTAMX1 (002050325v1_01585)
002050325v1_01586,Candidatus Brocadia sp. UTAMX1 UTAMX1 (002050325v1_01586)
002050325v1_01587,Candidatus Brocadia sp. UTAMX1 UTAMX1 (002050325v1_01587)
900232105v1_02703,Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen (900232105v1_02703)
900232105v1_02704,Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen (900232105v1_02704)
