LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
001302675v1_00591,001302675v1_00591 (Planctomycetes bacterium DG_20 DG_20)
001303605v1_01690,001303605v1_01690 (Planctomycetes bacterium SM23_25 SM23_25)
003509805v1_01955,003509805v1_01955 (Planctomycetaceae bacterium UBA8133)
003696025v1_02380,003696025v1_02380 (Planctomycetes bacterium J068)
001828265v1_02393,001828265v1_02393 (Planctomycetes bacterium RBG_13_63_9 )
001828305v1_00020,001828305v1_00020 (Planctomycetes bacterium RBG_16_64_10 )
003559955v1_02882,003559955v1_02882 (Planctomycetaceae bacterium CSSed10_163)
003567525v1_01583,003567525v1_01583 (Planctomycetaceae bacterium T3Sed10_166R1)
003563235v1_08842,003563235v1_08842 (Planctomycetaceae bacterium CSSed11_145)
007135525v1_04221,007135525v1_04221 (Planctomycetaceae bacterium CSSed165cm_207)
007121535v1_06551,007121535v1_06551 (Planctomycetaceae bacterium CSSed162cmA_153)
007124655v1_05331,007124655v1_05331 (Planctomycetaceae bacterium CSSed162cmB_590)
007695205v1_01944,007695205v1_01944 (Planctomycetaceae bacterium PLM2.Bin2)
002277955v1_02741,002277955v1_02741 (Thermogutta terrifontis )
003696025v1_02609,003696025v1_02609 (Planctomycetes bacterium J068)
003561895v1_03040,003561895v1_03040 (Planctomycetaceae bacterium CSSed11_97R1)
003564325v1_00779,003564325v1_00779 (Planctomycetaceae bacterium T3Sed10_97)
007122045v1_00823,007122045v1_00823 (Planctomycetales bacterium CSSed162cmA_102R1)
004556055v1_01050,004556055v1_01050 (Planctomycetaceae bacterium W1P25.044)
900317365v1_01073,900317365v1_01073 (uncultured planctomycete RUG284)
001603075v1_04427,001603075v1_04427 (Phycisphaerales bacterium Planc_01 Planc_01)
001824675v1_00757,001824675v1_00757 (Planctomycetes bacterium RBG_13_50_24 )
003533825v1_01055,003533825v1_01055 (Phycisphaerales bacterium UBA9295)
005223045v1_03513,005223045v1_03513 (Planctomycetes bacterium B3_Pla B3_Pla)
001828465v1_01549,001828465v1_01549 (Planctomycetes bacterium RBG_16_55_9 )
003236015v1_00311,003236015v1_00311 (Planctomycetaceae bacterium SZUA-267)
002347125v1_00224,002347125v1_00224 (Phycisphaerales bacterium UBA2266 UBA2266)
003247375v1_01444,003247375v1_01444 (Phycisphaerales bacterium SZUA-346)
005223045v1_01536,005223045v1_01536 (Planctomycetes bacterium B3_Pla B3_Pla)
003247375v1_00223,003247375v1_00223 (Phycisphaerales bacterium SZUA-346)
003644175v1_01446,003644175v1_01446 (Planctomycetes bacterium B28_G16)
003820145v1_00742,003820145v1_00742 (Planctomycetaceae bacterium maxbin2.0432)
003152975v1_01949,003152975v1_01949 (Phycisphaerales bacterium fen_1350)
001824635v1_00478,001824635v1_00478 (Planctomycetes bacterium GWF2_50_10 )
002007645v1_02343,002007645v1_02343 (Anaerohalosphaera lusitana )
002007645v1_03498,002007645v1_03498 (Anaerohalosphaera lusitana )
003551385v1_00415,003551385v1_00415 (Candidatus Brocadiaceae bacterium B1Sed10_226)
007752935v1_04732,007752935v1_04732 (Crateriforma conspicua )
007859875v1_03255,007859875v1_03255 (Planctomycetes bacterium Pan14r )
007860215v1_00651,007860215v1_00651 (Planctomycetes bacterium V7 )
007859835v1_01704,007859835v1_01704 (Planctomycetes bacterium CA13 )
007860135v1_02572,007860135v1_02572 (Planctomycetes bacterium Poly41 )
007860185v1_00491,007860185v1_00491 (Planctomycetes bacterium Q31b )
001303605v1_00807,001303605v1_00807 (Planctomycetes bacterium SM23_25 SM23_25)
003170085v1_02329,003170085v1_02329 (Planctomycetia bacterium fen_1346)
001303665v1_01920,001303665v1_01920 (Phycisphaerae bacterium SM23_33 SM23_33)
001828245v1_00370,001828245v1_00370 (Planctomycetes bacterium RBG_13_62_9 )
002327785v1_02022,002327785v1_02022 (Phycisphaerales bacterium UBA2218 UBA2218)
003551385v1_00024,003551385v1_00024 (Candidatus Brocadiaceae bacterium B1Sed10_226)
003230465v1_01376,003230465v1_01376 (Planctomycetales bacterium SZUA-211)
002402755v1_02355,002402755v1_02355 (Planctomycetes bacterium UBA4800 UBA4800)
003452155v1_01919,003452155v1_01919 (Planctomycetes bacterium UBA8898)
002687715v1_04021,002687715v1_04021 (Planctomycetes bacterium ARS1434)
002687715v1_04393,002687715v1_04393 (Planctomycetes bacterium ARS1434)
002726245v1_03163,002726245v1_03163 (Planctomycetaceae bacterium NP86)
