DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1

#dataset color (can be changed later)
COLOR,#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#
#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR))
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#
#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#maximum width
#WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
#HEIGHT_FACTOR,1

#Display individual values above the bars
#SHOW_VALUE,0

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by a fixed amount
#BAR_SHIFT,0

#BAR_ZERO specifies which dataset value will be used as a starting point for drawing the bars. Dataset values smaller than BAR_ZERO will be displayed to the left (possibly overlapping the tree, unless MARGIN is increased)
#BAR_ZERO,0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the bars
#BORDER_WIDTH,0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR,#0000ff

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1,value1
#ID2,value2
#9606,10000
#LEAF1|LEAF2,11000
EU478694.1.2286,59
EU478610.1.2241,656
EU478593.1.2215,375
EU478615.1.2194,2
EU478640.1.2190,1275
EU478677.1.2175,13
EU478662.1.2172,104
EU478692.1.2144,439
EU478693.1.2139,1951
MF000740.1.1711,2
MF000739.1.1696,11
MF000741.1.1681,3
AYTS01000061.55794.57396,169
MJUW02000026.32678.34278,193
MHZE01000386.4609.6208,1287
LJUE01000134.12425.14021,1
JZEK01000054.33287.34875,218
PUMJ01000232.1139.2727,1
LT934425.1069811.1071397,1229
MHXR01000033.12208.13793,7
MHYR01000121.4583.6167,6
MAYW01000056.12509.14084,16
OBAT01022319.1.1574,9
PBZW01000033.2275.3848,33
OBAT01032377.1.1572,3
ORMF010021896.3238.4809,24
OBRS01731726.1.1570,3
OBEP010695002.1.1569,24
OBAT01030491.1.1568,6
OBAT01025946.1.1568,8
OBAT01045036.1.1566,3
OBAT01039420.1.1566,3
OBAT01040316.1.1565,4
OBEP010666504.1.1564,7
GQ143789.1.1563,1203
OBEP010767856.1.1563,5
OBAT01021158.1.1562,6
OBAT01043369.1.1562,6
OBAT01040306.1.1560,5
OBEP010211392.1.1557,25
AB176696.1.1555,100
FJ577892.1.1555,296
OBEP010130432.1.1555,20
OBEP010200676.1.1555,1
OBEP010687727.1.1553,3
PVMK01124236.5846.7397,17
HM066537.1.1551,1
FM999000.1.1550,68
KC565681.1.1550,46
KC565685.1.1550,4
OBEP011136118.1.1550,2273
OBEP011487860.1.1548,2
OBEP011299115.1.1547,2
OBAT01044696.1.1547,3
OBEP011302908.1.1546,5
GQ175285.1.1545,134
AF375994.1.1543,41
OBAT01039809.1.1543,5
OBEP011283793.1.1541,2
DQ301513.1.1538,3
MPLW02085199.320.1857,1
JF747680.1.1537,44
JF747691.1.1537,1
OBAT01022525.1.1536,8
OBEP010617473.1.1536,3
OBAT01047513.1.1535,5
OBEP010863284.1.1535,14
KM018452.1.1534,6
OBEP010064990.1.1534,1
KM018466.1.1531,3
AB015552.1.1526,94
OBAT01036176.1.1525,1706
OBAT01036084.1.1525,3
OBAT01020428.1.1523,123
OBEP010849335.1.1522,7
OBAT01040922.1.1519,3
KM019039.1.1517,2
KM019040.1.1517,7
AB530135.1.1516,2
AB524907.1.1516,39
OBEP010813687.1.1516,6
LC192349.1.1515,64
EF602038.1.1514,306
LC192364.1.1513,13
FJ577894.1.1511,1
OBEP011169492.1.1511,5
AB811947.1.1505,4
EU048620.1.1499,2
AB524903.1.1496,5
OBEP010648773.2.1496,1
EU048626.1.1494,82
OBEP010854468.1.1493,1
OBEP011036323.1.1492,1
KX027318.1.1491,1
OBAT01035265.1.1491,4
FJ710776.1.1476,2
OBEP011035159.2.1474,1
OBEP010885678.1.1466,1
KX852036.1.1464,3
HE604774.1.1457,1
JF747633.1.1455,1
KX852138.1.1441,1
OBEP011095009.3.1441,1
AB264123.1.1434,1
OBEP010614846.1.1426,1
OBEP011456471.19.1443,1
OBEP010629591.1.1421,1
FM998977.1.1414,6
OBEP010279800.1.1412,8
AB281488.1.1411,89
FM998978.1.1404,2
FJ208847.1.1401,1
OBEP010873209.25.1423,1
AB277774.1.1392,10
HQ163732.1.1388,2
AB822932.1.1384,1
AJ131819.7.1390,1
JF747676.1.1381,1
JF747636.1.1379,23
AJ519649.1.1369,1
OBEP010911971.1.1340,1
OBEP010878819.1.1338,7
OBEP011357300.1.1336,1
EU373086.1.1334,2
DQ996944.1.1324,19
OBEP011247835.1.1322,1
OBEP010684006.1.1302,1
OBEP011385414.11.1274,1
HQ330561.1.1215,1
KM203566.1.1200,5
EU361730.1.1156,2
FM868190.1.1132,1
FM998975.1.1075,1
EU310473.1.1053,1
EU310472.1.1050,10
MH040193.1.1044,1
MPMD02013011.11.960,2
AM409858.1.948,2
PWZK01000347.1.944,1
AM941031.1.940,3
FJ800290.1.936,58
EU181954.1.916,1
EU181927.1.911,1
FM998979.1.895,1
EF646003.1.878,244
FM998945.1.874,1
AB284826.1.867,1
FM998980.1.861,1
GU294780.1.860,1
FM998954.1.845,2
KM987376.1.845,156
HM565017.1.843,14
HM565015.1.839,9
HM573590.1.838,14
HM573589.1.837,3
JQ303101.1.837,6
GQ896513.1.836,2
HM573586.1.836,84
HM565016.1.836,150
JN832655.1.836,91
JQ889546.1.836,17
JQ889388.1.836,11
KM095483.1.836,11
KM095484.1.836,3
KM095486.1.836,97
JQ889622.1.835,1
KM095481.1.835,390
KM095480.1.835,3
JN010145.1.834,64
JN010156.1.834,50
JQ889505.1.834,98
KM095488.1.834,73
JQ889383.1.833,1
KM987361.1.832,2
KM987373.1.831,1
DQ786747.1.830,1
KF794157.1.829,2
FR669160.1.816,1
EU682478.1.812,5
JQ889483.1.811,22
JQ889669.1.810,64
AB369870.1.809,4
JN010158.1.809,9
JQ889501.1.809,11
KY873279.1.809,1
EU682476.1.808,2
FM998972.1.807,1
EU682480.1.806,9
JX945923.1.804,57
KM987364.1.804,6
JX945917.1.803,67
JX945905.1.803,1
KF442620.1.803,1
KM987371.1.803,2
JX945924.1.802,1
JX945928.1.802,1
