DATASET_EXTERNALSHAPE
#Nodes have multiple values associated with them. Values will be displayed as geometric shapes of different sizes in columns outside the tree.
#Highest value in the dataset will have the largest size, and all others will be scaled down proportionally.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	numerical text

#dataset color (can be changed later)
COLOR	#ff0000

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS	rgba(0,255,0,0)

#field labels
FIELD_LABELS	text

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#
#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN	-40

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#shape height factor; Default shape height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR	2.5

#vertical and horizontal grids can be displayed connecting the shapes
HORIZONTAL_GRID	0
VERTICAL_GRID	0

#horizontal spacing between shape columns
#SHAPE_SPACING,10

#Shape types:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#SHAPE_TYPE,2

#if set to 0, only outlines will be shown
#COLOR_FILL,1

#if set to 1, actual numeric value will be show in the center of each shape
SHOW_VALUES	1

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#ID1,value1,value2,value3
#ID2,value4,value5,value6
#9606,10,10,20,40
#LEAF1|LEAF2,50,60,80,90

GCA_002218085.1	100.0
GCA_000317535.1	99.73
GCA_000346485.2	99.64
GCA_000760695.4	99.64
GCA_000952155.1	95.65
GCA_003003885.1	99.73
GCA_003015105.1	96.73
GCA_001904725.1	99.37
GCA_000317495.1	99.37
GCA_000317515.1	99.73
GCA_001747005.1	99.18
GCA_000332035.1	98.91
GCA_002355455.1	99.46
GCA_000317575.1	99.46
GCA_001890765.1	99.46
GCA_000314005.1	99.46
GCA_000380225.1	99.09
GCA_000473895.1	100.0
GCA_000332275.1	99.18
GCA_000013225.1	98.64
GCA_000011385.1	96.06
GCA_001899315.1	71.92
GCA_900552525.1	61.96
GCA_014377495.1	61.44

GCA_000011385.1	99.15
GCA_001899385.1	84.62
GCA_002083815.1	75.25
GCA_002083825.1	89.74
GCA_001899315.1	97.44
GCA_000332275.1	100.0
GCA_003149345.1	95.73
GCA_003242895.1	96.58
GCA_004769085.1	94.87
GCA_000317515.1	99.56
GCA_009772965.1	93.1
GCA_900552525.1	87.61
GCA_903970495.1	79.63

GCA_000025185.1	99.41
GCA_000092105.1	99.41
GCA_000153105.1	99.41
GCA_000165715.3	99.02
GCA_000171775.1	94.95
GCA_000181475.1	99.41
GCA_000186345.1	99.41
GCA_000195185.2	99.02
GCA_000196115.1	99.41
GCA_000242455.3	98.63
GCA_000255655.1	99.02
GCA_000255675.1	97.46
GCA_000255705.1	97.72
GCA_000284115.1	93.46
GCA_000296795.1	99.41
GCA_000304635.1	99.02
GCA_000315095.1	97.85
GCA_000315115.1	98.05
GCA_000330745.1	99.41
GCA_000338295.1	98.83
GCA_000346295.1	97.36
GCA_000346315.1	98.63
GCA_000346425.1	99.41
GCA_000346505.1	98.63
GCA_000484995.1	30.99
GCA_000531095.1	96.06
GCA_000786775.1	96.13
GCA_000949635.1	99.41
GCA_000987375.1	97.85
GCA_001027925.1	99.41
GCA_001302675.1	45.31
GCA_001302825.1	79.17
GCA_001303465.1	69.6
GCA_001303605.1	53.19
GCA_001303665.1	70.43
GCA_001303695.1	69.88
GCA_001303885.1	60.74
GCA_001304275.1	46.35
GCA_001304295.1	37.69
GCA_001304355.1	41.6
GCA_001464525.1	86.62
GCA_001567345.1	96.68
GCA_001603075.1	92.25
GCA_001610835.1	99.41
GCA_001610855.1	95.87
GCA_001610875.1	98.31
GCA_001610895.1	97.66
GCA_001642875.1	95.57
GCA_001642915.1	99.02
GCA_001642955.1	98.63
GCA_001644265.1	33.38
GCA_001644345.1	10.71
GCA_001644415.1	31.46
GCA_001657375.1	88.09
GCA_001707835.1	99.41
GCA_001723765.1	93.65
GCA_001724615.1	26.41
GCA_001753675.2	96.09
GCA_001824485.1	76.74
GCA_001824505.1	44.25
GCA_001824525.1	70.09
GCA_001824555.1	84.44
GCA_001824565.1	18.36
GCA_001824595.1	48.5
GCA_001824605.1	57.21
GCA_001824635.1	82.31
GCA_001824645.1	51.08
GCA_001824675.1	36.1
GCA_001824685.1	41.65
GCA_001825595.1	45.9
GCA_001825635.1	61.74
GCA_001825655.1	58.89
GCA_001825665.1	91.08
GCA_001825675.1	85.92
GCA_001825715.1	54.65
GCA_001828245.1	51.3
GCA_001828265.1	67.02
GCA_001828295.1	69.92
GCA_001828305.1	61.94
GCA_001828335.1	79.92
GCA_001828345.1	43.21
GCA_001828365.1	68.48
GCA_001828385.1	79.36
GCA_001828415.1	50.65
GCA_001828435.1	71.0
GCA_001828445.1	50.27
GCA_001828465.1	75.37
GCA_001828495.1	43.91
GCA_001828515.1	93.76
GCA_001828535.1	50.91
GCA_001828545.1	62.79
GCA_001828565.1	92.58
GCA_001828595.1	81.43
GCA_001828605.1	84.77
GCA_001828635.1	50.29
GCA_001828645.1	55.14
GCA_001828665.1	45.69
GCA_001828685.1	62.7
GCA_001830275.1	61.72
GCA_001830285.1	78.98
GCA_001830315.1	72.66
GCA_001898385.1	97.85
GCA_001956985.1	98.24
GCA_001983935.1	98.63
GCA_001997385.1	89.65
GCA_001999965.1	89.65
GCA_002007645.1	93.55
GCA_002009475.1	97.04
GCA_002049885.1	47.98
GCA_002050035.1	56.55
GCA_002050205.1	72.15
GCA_002050315.1	98.24
GCA_002050325.1	98.24
GCA_002084585.1	81.05
GCA_002117005.1	89.65
GCA_002167285.1	73.86
GCA_002167455.1	95.12
GCA_002167845.2	79.87
GCA_002168105.2	75.42
GCA_002168195.1	96.39
GCA_002168315.1	53.84
GCA_002168905.2	46.95
GCA_002168935.1	55.4
GCA_002169045.1	38.13
GCA_002169945.1	55.4
GCA_002171115.1	66.8
GCA_002171655.1	71.76
GCA_002197845.1	96.74
GCA_002239625.1	89.26
GCA_002251265.1	96.68
GCA_002277955.1	98.24
GCA_002279215.1	65.1
GCA_002279375.1	55.87
GCA_002289565.1	99.41
GCA_002292895.1	71.16
GCA_002295795.1	90.62
GCA_002295885.1	79.56
GCA_002297475.1	96.06
GCA_002303765.1	90.25
GCA_002306615.1	91.01
GCA_002308035.1	73.18
GCA_002308055.1	88.01
GCA_002311345.1	77.82
GCA_002311745.1	79.95
GCA_002311925.1	65.1
GCA_002320435.1	92.58
GCA_002320715.1	75.07
GCA_002320775.1	91.0
GCA_002327785.1	89.65
GCA_002331825.1	65.41
GCA_002336705.1	81.38
GCA_002337215.1	72.53
GCA_002337265.1	60.42
GCA_002337545.1	78.16
