DATASET_EXTERNALSHAPE
#Nodes have multiple values associated with them. Values will be displayed as geometric shapes of different sizes in columns outside the tree.
#Highest value in the dataset will have the largest size, and all others will be scaled down proportionally.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	numerical text

#dataset color (can be changed later)
COLOR	#ff0000

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS	rgba(0,255,0,0)

#field labels
FIELD_LABELS	text

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#
#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#shape height factor; Default shape height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR	1.5

#vertical and horizontal grids can be displayed connecting the shapes
HORIZONTAL_GRID	0
VERTICAL_GRID	0

#horizontal spacing between shape columns
#SHAPE_SPACING,10

#Shape types:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#SHAPE_TYPE,2

#if set to 0, only outlines will be shown
#COLOR_FILL,1

#if set to 1, actual numeric value will be show in the center of each shape
#SHOW_VALUES,1

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#ID1,value1,value2,value3
#ID2,value4,value5,value6
#9606,10,10,20,40
#LEAF1|LEAF2,50,60,80,90
GCA_002712845.1	50.5
GCA_902626275.1	27.66
GCA_002341405.1	70.12
GCA_000171775.1	94.95
GCA_003452155.1	85.27
GCA_003669255.1	57.75
GCA_001644265.1	33.38
GCA_000346425.1	99.41
GCA_900696675.1	99.02
GCA_002705055.1	80.66
GCA_002050315.1	98.24
GCA_002718815.1	97.36
GCA_001603075.1	92.25
GCA_002591705.1	74.14
GCA_002721555.1	77.31
GCA_000346505.1	98.63
GCA_008636105.1	95.12
GCA_002289565.1	99.41
GCA_000020225.1	89.36
GCA_002422955.1	99.41
GCA_007753675.1	95.12
GCA_002167455.1	90.23
GCA_005223045.1	98.21
GCA_007747215.1	90.58
GCA_002746535.1	87.58
GCA_002477435.1	98.24
GCA_002050325.1	98.67
GCA_007745435.1	95.12
GCA_007695205.1	97.85
GCA_003388505.1	98.63
GCA_007752535.1	93.46
GCA_000284115.1	98.44
GCA_007618155.1	90.46
GCA_002338715.1	99.41
GCA_008035925.1	98.05
GCA_000315115.1	97.82
GCA_003136315.1	89.52
GCA_007693965.1	97.23
GCA_008254045.1	99.41
GCA_003501305.1	99.41
GCA_000153105.1	99.41
GCA_008629675.1	52.77
GCA_002718835.1	80.14
GCA_002696165.1	88.09
GCA_003553245.1	97.2
GCA_009692005.1	74.25
GCA_002705085.1	50.97
GCA_003693915.1	95.31
GCA_007127095.1	84.77
GCA_001828605.1	98.67
GCA_007744515.1	81.12
GCA_002702575.1	97.17
GCA_007748035.1	96.39
GCA_002168195.1	99.09
GCA_007859875.1	99.41
GCA_000196115.1	98.63
GCA_007860135.1	89.65
GCA_001997385.1	98.63
GCA_009177065.1	79.3
GCA_002686595.1	72.78
GCA_902630355.1	85.28
GCA_005808465.1	61.71
GCA_008933285.1	37.69
GCA_001304295.1	96.06
GCA_002297475.1	97.75
GCA_007746075.1	99.09
GCA_007860215.1	86.72
GCA_007750655.1	99.02
GCA_007860095.1	93.24
GCA_002709045.1	96.13
GCA_000786775.1	98.63
GCA_000346315.1	84.83
GCA_900696545.1	65.92
GCA_000172155.1	56.55
GCA_007129865.1	99.41
GCA_002050035.1	96.09
GCA_007748175.1	95.9
GCA_007747445.1	99.41
GCA_007748075.1	57.55
GCA_002727185.1	94.82
GCA_007119795.1	55.87
GCA_003390835.1	99.02
GCA_002279375.1	99.41
GCA_009618275.1	98.63
GCA_000092105.1	77.08
GCA_008501815.1	46.95
GCA_002967755.1	96.06
GCA_002168905.2	82.88
GCA_000531095.1	32.82
GCA_002723305.1	97.04
GCA_007922685.1	61.41
GCA_002009475.1	36.26
GCA_002343845.1	87.3
GCA_003669445.1	97.85
GCA_007751255.1	94.0
GCA_003669585.1	81.18
GCA_003513555.1	97.92
GCA_003669335.1	98.05
GCA_007744255.1	99.22
GCA_002901265.1	87.08
GCA_007753095.1	99.02
GCA_003526145.1	89.26
GCA_003388575.1	81.0
GCA_002239625.1	66.47
GCA_009691805.1	89.65
GCA_003561085.1	95.9
GCA_002117005.1	98.24
GCA_002701385.1	97.36
GCA_002277955.1	98.63
GCA_007745835.1	97.46
GCA_900696475.1	99.41
GCA_000255675.1	89.78
GCA_007752345.1	84.18
GCA_007753915.1	99.02
GCA_004295085.1	98.24
GCA_007860185.1	91.73
GCA_007748055.1	90.98
GCA_900696465.1	81.25
GCA_003576915.1	81.51
GCA_002709295.1	97.85
GCA_002683135.1	98.7
GCA_000987375.1	98.05
GCA_007748115.1	84.54
GCA_007745175.1	38.13
GCA_007693765.1	99.02
GCA_002169045.1	82.42
GCA_007750395.1	81.71
GCA_002748355.1	84.96
GCA_002683275.1	96.74
GCA_900696525.1	83.06
GCA_002197845.1	81.05
GCA_003671055.1	98.24
GCA_002084585.1	89.45
GCA_001956985.1	97.07
GCA_002684555.1	97.66
GCA_002632395.1	95.87
GCA_001610895.1	95.54
GCA_001610855.1	30.99
GCA_002733575.1	66.8
GCA_000484995.1	96.09
GCA_002171115.1	98.14
GCA_001753675.2	89.65
GCA_003389355.1	82.13
GCA_001999965.1	66.68
GCA_009691785.1	96.65
GCA_007118035.1	99.41
GCA_008065095.1	98.89
GCA_007746535.1	89.06
GCA_003335485.1	99.41
GCA_002686265.1	97.36
GCA_000330745.1	62.79
GCA_007750855.1	69.35
GCA_001828545.1	93.55
GCA_002862275.1	76.31
GCA_002007645.1	88.61
GCA_002343325.1	97.75
GCA_900696425.1	86.88
GCA_009177095.1	93.65
GCA_003551565.1	87.3
GCA_001723765.1	83.92
GCA_007748095.1	98.24
GCA_009692045.1	70.09
GCA_007860005.1	78.52
GCA_001824525.1	99.01
GCA_003567495.1	82.36
GCA_008363395.1	99.41
GCA_003576875.1	67.76
GCA_007748155.1	88.61
GCA_002708465.1	81.28
GCA_002839495.1	99.22
GCA_003671075.1	99.41
GCA_007741475.1	75.46
GCA_007859755.1	44.52
GCA_004213555.1	96.97
GCA_002731535.1	64.62
GCA_007859955.1	70.35
GCA_002700745.1	71.94
GCA_007121565.1	57.21
GCA_003499685.1	91.67
GCA_001824605.1	95.31
GCA_003559955.1	88.33
GCA_002415975.1	82.78
GCA_002698965.1	99.02
GCA_005239795.1	99.41
GCA_000195185.2	79.46
GCA_000181475.1	86.78
GCA_002343715.1	70.35
GCA_003671255.1	99.02
GCA_003669575.1	98.18
GCA_007741535.1	99.02
GCA_002443295.1	98.89
GCA_007744675.1	97.36
