DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	Completness

#dataset color (can be changed later)
COLOR	#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset_legend
#LEGEND_SHAPES 1 2 3
#LEGEND_COLORS #ff0000 #00ff00 #0000ff
#LEGEND_LABELS value1 value2 value3

LEGEND_TITLE	Completness
LEGEND_SHAPES	1	1	1	1	1	1	1
LEGEND_COLORS	#0000ff	#5151ff	#a1a1ff	#FFFFFF	#ffacac	#ff5a5a	#ff0000
LEGEND_LABELS	18.36	28.36	38.36	50	66	82	99.41
#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the gradient strip
STRIP_WIDTH	50

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN	50

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the gradient strip
#BORDER_WIDTH 0

#border color; used whern BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#define the gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN	#0000ff
COLOR_MAX	#ff0000

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR	1
COLOR_MID	#FFFFFF

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 1

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1 value1
#ID2 value2
#9606 10000
#LEAF1|LEAF2 11000

GCA_002218085.1	100.0
GCA_000317535.1	99.72826086956522
GCA_000346485.2	99.6376811594203
GCA_000760695.4	99.6376811594203
GCA_000952155.1	95.65217391304348
GCA_003003885.1	99.72826086956522
GCA_003015105.1	96.72677865612648
GCA_001904725.1	99.36594202898551
GCA_000317495.1	99.36594202898551
GCA_000317515.1	99.72826086956522
GCA_001747005.1	99.18478260869566
GCA_000332035.1	98.91304347826087
GCA_002355455.1	99.45652173913044
GCA_000317575.1	99.45652173913044
GCA_001890765.1	99.45652173913044
GCA_000314005.1	99.45652173913044
GCA_000380225.1	99.09420289855072
GCA_000473895.1	100.0
GCA_000332275.1	99.18478260869566
GCA_000013225.1	98.6413043478261
GCA_000011385.1	96.05978260869566
GCA_001899315.1	71.92028985507245
GCA_900552525.1	61.95652173913044
GCA_014377495.1	61.4356884057971

GCA_000011385.1	99.14529914529915
GCA_001899385.1	84.61538461538461
GCA_002083815.1	75.24993524993525
GCA_002083825.1	89.74358974358972
GCA_001899315.1	97.43589743589745
GCA_000332275.1	100.0
GCA_003149345.1	95.72649572649573
GCA_003242895.1	96.58119658119658
GCA_004769085.1	94.87179487179488
GCA_000317515.1	99.55555555555556
GCA_009772965.1	93.10344827586206
GCA_900552525.1	87.6068376068376
GCA_903970495.1	79.62548262548263

GCA_000025185.1	99.4140625
GCA_000092105.1	99.4140625
GCA_000153105.1	99.4140625
GCA_000165715.3	99.0234375
GCA_000171775.1	94.95442708333334
GCA_000181475.1	99.4140625
GCA_000186345.1	99.4140625
GCA_000195185.2	99.0234375
GCA_000196115.1	99.4140625
GCA_000242455.3	98.6328125
GCA_000255655.1	99.0234375
GCA_000255675.1	97.4609375
GCA_000255705.1	97.72135416666669
GCA_000284115.1	93.45703125
GCA_000296795.1	99.4140625
GCA_000304635.1	99.0234375
GCA_000315095.1	97.8515625
GCA_000315115.1	98.046875
GCA_000330745.1	99.4140625
GCA_000338295.1	98.828125
GCA_000346295.1	97.36328125
GCA_000346315.1	98.6328125
GCA_000346425.1	99.4140625
GCA_000346505.1	98.6328125
GCA_000484995.1	30.98562047101449
GCA_000531095.1	96.06119791666669
GCA_000786775.1	96.12630208333331
GCA_000949635.1	99.4140625
GCA_000987375.1	97.8515625
GCA_001027925.1	99.4140625
GCA_001302675.1	45.30598958333334
GCA_001302825.1	79.16666666666666
GCA_001303465.1	69.59635416666667
GCA_001303605.1	53.19010416666667
GCA_001303665.1	70.4296875
GCA_001303695.1	69.8828125
GCA_001303885.1	60.7421875
GCA_001304275.1	46.35416666666666
GCA_001304295.1	37.69248188405797
GCA_001304355.1	41.6015625
GCA_001464525.1	86.62109375
GCA_001567345.1	96.6796875
GCA_001603075.1	92.25260416666669
GCA_001610835.1	99.4140625
GCA_001610855.1	95.86588541666669
GCA_001610875.1	98.30729166666669
GCA_001610895.1	97.65625
GCA_001642875.1	95.57291666666669
GCA_001642915.1	99.0234375
GCA_001642955.1	98.6328125
GCA_001644265.1	33.37890625
GCA_001644345.1	10.709635416666666
GCA_001644415.1	31.46059782608696
GCA_001657375.1	88.0859375
GCA_001707835.1	99.4140625
GCA_001723765.1	93.65234375
GCA_001724615.1	26.40625
GCA_001753675.2	96.09375
GCA_001824485.1	76.74479166666667
GCA_001824505.1	44.25243432971014
GCA_001824525.1	70.09114583333333
GCA_001824555.1	84.44010416666667
GCA_001824565.1	18.359375
GCA_001824595.1	48.50118885869566
GCA_001824605.1	57.20957880434783
GCA_001824635.1	82.31119791666667
GCA_001824645.1	51.08072916666666
GCA_001824675.1	36.10026041666666
GCA_001824685.1	41.64826766304349
GCA_001825595.1	45.8984375
GCA_001825635.1	61.73828125000001
GCA_001825655.1	58.89322916666666
GCA_001825665.1	91.08072916666669
GCA_001825675.1	85.92447916666669
GCA_001825715.1	54.65353260869566
GCA_001828245.1	51.30208333333334
GCA_001828265.1	67.02190896739131
GCA_001828295.1	69.921875
GCA_001828305.1	61.93614130434783
GCA_001828335.1	79.91536458333333
GCA_001828345.1	43.2133152173913
GCA_001828365.1	68.4765625
GCA_001828385.1	79.36197916666667
GCA_001828415.1	50.65104166666666
GCA_001828435.1	71.00345335144928
GCA_001828445.1	50.27428668478261
GCA_001828465.1	75.37364130434783
GCA_001828495.1	43.91134510869566
GCA_001828515.1	93.7599071557971
GCA_001828535.1	50.90862771739131
GCA_001828545.1	62.79296875
GCA_001828565.1	92.578125
GCA_001828595.1	81.42691349637681
GCA_001828605.1	84.765625
GCA_001828635.1	50.29353487318841
GCA_001828645.1	55.13671875
GCA_001828665.1	45.6937839673913
GCA_001828685.1	62.70040760869565
GCA_001830275.1	61.71875
GCA_001830285.1	78.98126132246377
GCA_001830315.1	72.65625
GCA_001898385.1	97.8515625
GCA_001956985.1	98.2421875
GCA_001983935.1	98.6328125
GCA_001997385.1	89.6484375
GCA_001999965.1	89.6484375
GCA_002007645.1	93.5546875
GCA_002009475.1	97.03776041666669
GCA_002049885.1	47.98177083333334
GCA_002050035.1	56.54947916666666
GCA_002050205.1	72.15098505434783
GCA_002050315.1	98.2421875
GCA_002050325.1	98.2421875
GCA_002084585.1	81.0546875
GCA_002117005.1	89.6484375
GCA_002167285.1	73.85926177536231
GCA_002167455.1	95.1171875
GCA_002167845.2	79.86582880434783
GCA_002168105.2	75.42317708333333
GCA_002168195.1	96.38671875
GCA_002168315.1	53.84114583333333
GCA_002168905.2	46.9534080615942
GCA_002168935.1	55.40364583333334
GCA_002169045.1	38.13151041666667
