	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_002168315.1												002168315v1_00827												002168315v1_02128,002168315v1_00214								002168315v1_00499	002168315v1_00579					002168315v1_01395																																					002168315v1_01534	002168315v1_01532	002168315v1_01533	002168315v1_01530	002168315v1_01528	002168315v1_01531	002168315v1_01527	002168315v1_01529
GCA_002862205.1												002862205v1_02526,002862205v1_04556,002862205v1_04558,002862205v1_04559												002862205v1_02264,002862205v1_00568,002862205v1_02856								002862205v1_02887,002862205v1_00073	002862205v1_00503,002862205v1_03244,002862205v1_03742					002862205v1_05629																									002862205v1_00933	002862205v1_00932	002862205v1_00931	002862205v1_00930	002862205v1_00929	002862205v1_00928							002862205v1_05729	002862205v1_05727	002862205v1_05728	002862205v1_05758	002862205v1_05756	002862205v1_05759	002862205v1_03638	002862205v1_05757
GCA_007860175.1										007860175v1_05703	007860175v1_05702	007860175v1_02369,007860175v1_02961		007860175v1_00365		007860175v1_00376							007860175v1_01688	007860175v1_04833,007860175v1_03677,007860175v1_04344								007860175v1_06022	007860175v1_00327					007860175v1_01232		007860175v1_04959	007860175v1_04960	007860175v1_04961,007860175v1_04962,007860175v1_04964	007860175v1_04955	007860175v1_04957											007860175v1_03414	007860175v1_03413			007860175v1_01632				007860175v1_01448	007860175v1_01449	007860175v1_01450	007860175v1_01451	007860175v1_01452	007860175v1_01453							007860175v1_05838,007860175v1_01572	007860175v1_01574,007860175v1_05840	007860175v1_05839,007860175v1_01573	007860175v1_01576,007860175v1_05841	007860175v1_01578,007860175v1_05834	007860175v1_01575	007860175v1_01579	007860175v1_01577,007860175v1_05842
GCA_007741535.1										007741535v1_03806	007741535v1_03807	007741535v1_02554,007741535v1_01396				007741535v1_06463								007741535v1_03200,007741535v1_04363,007741535v1_04924								007741535v1_03201,007741535v1_03952	007741535v1_01034					007741535v1_06348		007741535v1_04289	007741535v1_04288	007741535v1_04286,007741535v1_04287,007741535v1_04283	007741535v1_04293	007741535v1_04291											007741535v1_03770	007741535v1_03769			007741535v1_05813				007741535v1_01993	007741535v1_01992	007741535v1_01991	007741535v1_01990	007741535v1_01989	007741535v1_01988							007741535v1_02202,007741535v1_05401	007741535v1_05403,007741535v1_02200	007741535v1_05402,007741535v1_02201	007741535v1_02198,007741535v1_05404	007741535v1_02196,007741535v1_05397	007741535v1_02199	007741535v1_02195	007741535v1_02197,007741535v1_05405
GCA_007860185.1			007860185v1_00491			007860185v1_01002	007860185v1_01000			007860185v1_02831	007860185v1_02832	007860185v1_03079,007860185v1_04113				007860185v1_01032								007860185v1_05188,007860185v1_01780,007860185v1_00422,007860185v1_01938								007860185v1_01781	007860185v1_02099,007860185v1_00007					007860185v1_00982,007860185v1_01161	007860185v1_00190	007860185v1_04597,007860185v1_00191	007860185v1_04596,007860185v1_00192	007860185v1_00193,007860185v1_04594,007860185v1_04595,007860185v1_04592	007860185v1_00194,007860185v1_04601	007860185v1_00196,007860185v1_04599						007860185v1_05494					007860185v1_05497	007860185v1_05498							007860185v1_00916	007860185v1_00917	007860185v1_00918	007860185v1_00919	007860185v1_00920	007860185v1_00921	007860185v1_02471	007860185v1_02472	007860185v1_02470	007860185v1_02469,007860185v1_02303	007860185v1_02467	007860185v1_02473	007860185v1_04492	007860185v1_04494	007860185v1_04493	007860185v1_04496	007860185v1_04499	007860185v1_04495	007860185v1_04500	007860185v1_04498
GCA_002289565.1										002289565v1_04527	002289565v1_04528	002289565v1_05518,002289565v1_03754		002289565v1_01319		002289565v1_01308								002289565v1_05937,002289565v1_02333,002289565v1_02092,002289565v1_01940								002289565v1_02091,002289565v1_04103	002289565v1_05239,002289565v1_00481					002289565v1_02011,002289565v1_03729	002289565v1_02254	002289565v1_02253	002289565v1_02252	002289565v1_02251	002289565v1_02250	002289565v1_02248			002289565v1_03678	002289565v1_03679	002289565v1_03680	002289565v1_03681	002289565v1_03682	002289565v1_03683	002289565v1_03684	002289565v1_03685	002289565v1_03686,002289565v1_01539	002289565v1_03687,002289565v1_01538	002289565v1_03688		002289565v1_03166				002289565v1_00879	002289565v1_00878	002289565v1_00877	002289565v1_00876	002289565v1_00875	002289565v1_00874							002289565v1_03722,002289565v1_01395	002289565v1_01393,002289565v1_03724	002289565v1_03723,002289565v1_01394	002289565v1_01391,002289565v1_03725	002289565v1_01389,002289565v1_03718	002289565v1_01392	002289565v1_01388,002289565v1_03719	002289565v1_01390,002289565v1_03726
GCA_007741555.1										007741555v1_01693	007741555v1_01692	007741555v1_05325,007741555v1_05327,007741555v1_05326		007741555v1_05748		007741555v1_05373								007741555v1_03636,007741555v1_04709,007741555v1_04223,007741555v1_04898,007741555v1_04224,007741555v1_00416								007741555v1_04723,007741555v1_03978,007741555v1_01541	007741555v1_00926,007741555v1_03412					007741555v1_00068																		007741555v1_04526			007741555v1_04525				007741555v1_02113	007741555v1_02112	007741555v1_02111	007741555v1_02110	007741555v1_02109	007741555v1_02108							007741555v1_05267	007741555v1_05265	007741555v1_05266	007741555v1_05263	007741555v1_05261	007741555v1_05264	007741555v1_05260	007741555v1_05262
GCA_013002105.1												013002105v1_01743,013002105v1_01742,013002105v1_01741				013002105v1_02322								013002105v1_06132,013002105v1_01667,013002105v1_01724,013002105v1_00771								013002105v1_03137,013002105v1_06052	013002105v1_01193					013002105v1_00014,013002105v1_01230,013002105v1_00613						013002105v1_05200																			013002105v1_04299	013002105v1_01153	013002105v1_01152	013002105v1_01151	013002105v1_01150	013002105v1_01149	013002105v1_00369,013002105v1_06043	013002105v1_00370,013002105v1_06044	013002105v1_00510,013002105v1_06042	013002105v1_00511	013002105v1_00513	013002105v1_00371,013002105v1_06045	013002105v1_03921	013002105v1_03923	013002105v1_03922	013002105v1_03925	013002105v1_03927	013002105v1_03924	013002105v1_03928	013002105v1_03926
GCA_000330745.1										000330745v1_04534	000330745v1_04533	000330745v1_03717,000330745v1_02477		000330745v1_00677		000330745v1_03680								000330745v1_03714,000330745v1_04162,000330745v1_04140								000330745v1_04502,000330745v1_03056	000330745v1_03464,000330745v1_02687					000330745v1_04734		000330745v1_00420	000330745v1_00421	000330745v1_00423,000330745v1_00422,000330745v1_00425	000330745v1_00416	000330745v1_00418											000330745v1_01926	000330745v1_01927			000330745v1_05903				000330745v1_02095	000330745v1_02094	000330745v1_02093	000330745v1_02092	000330745v1_02091	000330745v1_02090							000330745v1_05174,000330745v1_01980	000330745v1_01978,000330745v1_05172	000330745v1_05173	000330745v1_01976,000330745v1_05171	000330745v1_01974,000330745v1_05178	000330745v1_01977	000330745v1_01973,000330745v1_05177	000330745v1_01975,000330745v1_05170
GCA_002696915.1										002696915v1_00557	002696915v1_00558	002696915v1_03096,002696915v1_00304		002696915v1_03257		002696915v1_00521								002696915v1_00991								002696915v1_03176	002696915v1_02959					002696915v1_00167																	002696915v1_00217	002696915v1_00219			002696915v1_00218				002696915v1_02937	002696915v1_02938	002696915v1_02939	002696915v1_02940	002696915v1_02941	002696915v1_02942							002696915v1_01543	002696915v1_01541	002696915v1_01542	002696915v1_01539	002696915v1_01537	002696915v1_01540	002696915v1_01536	002696915v1_01538
