SPECIES: FAMILY_COVERAGE
GCA_001824505.1: 0
GCA_001824595.1: 0
GCA_001824605.1: 0
GCA_001825595.1: 0
GCA_001828295.1: 0
GCA_001828365.1: 0
GCA_001828435.1: 0
GCA_001828535.1: 0
GCA_001828545.1: 0
GCA_001828685.1: 0
GCA_001830285.1: 0
GCA_002418245.1: 0
GCA_002632395.1: 0
GCA_003230645.1: 0
GCA_007859995.1: 0
GCA_008363445.1: 0
GCA_001824485.1: 0.333333
GCA_001825635.1: 0.333333
GCA_001825655.1: 0.333333
GCA_001828415.1: 0.333333
GCA_001830315.1: 0.333333
GCA_002050315.1: 0.333333
GCA_003577195.1: 0.333333
GCA_900696655.1: 0.333333
GCA_000786775.1: 0.666667
GCA_000987375.1: 0.666667
GCA_001567345.1: 0.666667
GCA_001828645.1: 0.666667
GCA_001828665.1: 0.666667
GCA_002443295.1: 0.666667
GCA_002632345.1: 0.666667
GCA_007618135.1: 0.666667
GCA_000296795.1: 1
GCA_000315095.1: 1
GCA_000315115.1: 1
GCA_000949635.1: 1
GCA_001723765.1: 1
GCA_001753675.2: 1
GCA_001824525.1: 1
GCA_001828385.1: 1
GCA_001828515.1: 1
GCA_001828565.1: 1
GCA_001828595.1: 1
GCA_001828605.1: 1
GCA_001830275.1: 1
GCA_002009475.1: 1
GCA_002050325.1: 1
GCA_002848945.1: 1
GCA_003545295.1: 1
GCA_003577215.1: 1
GCA_004282735.1: 1
GCA_004282745.1: 1
GCA_004351875.1: 1
GCA_005524015.1: 1
GCA_007618145.1: 1
GCA_007618155.1: 1
GCA_007860005.1: 1
GCA_008363395.1: 1
GCA_008501815.1: 1
GCA_008636105.1: 1
GCA_008933285.1: 1
GCA_900232105.1: 1
GCA_900232175.1: 1
GCA_900696475.1: 1
GCA_900696675.1: 1
