DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1

#dataset color (can be changed later)
COLOR,#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#
#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR))
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#
#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#maximum width
#WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
#HEIGHT_FACTOR,1

#Display individual values above the bars
#SHOW_VALUE,0

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by a fixed amount
#BAR_SHIFT,0

#BAR_ZERO specifies which dataset value will be used as a starting point for drawing the bars. Dataset values smaller than BAR_ZERO will be displayed to the left (possibly overlapping the tree, unless MARGIN is increased)
#BAR_ZERO,0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the bars
#BORDER_WIDTH,0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR,#0000ff

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1,value1
#ID2,value2
#9606,10000
#LEAF1|LEAF2,11000
WP_012375768.1,683
WP_107745541.1,631
TNF71234.1,650
RME95663.1,600
TKJ37866.1,682
KAA0256223.1,626
OHB83515.1,597
RPJ58789.1,691
RPI26383.1,659
OHB80945.1,707
KPK44835.1,598
WP_146528051.1,663
WP_148596139.1,608
WP_095415254.1,701
RJP28504.1,665
TVS20222.1,444
PLX82851.1,613
RKY58364.1,690
WP_011698481.1,646
OQX59288.1,673
RKY85944.1,673
RKY90387.1,673
RKY65158.1,680
RKY74730.1,680
RKY65885.1,680
RME37758.1,674
KPJ72088.1,305
RME38771.1,492
RKY79124.1,566
RKY78114.1,488
OIO09805.1,457
THB72757.1,632
TAL65497.1,478
RPJ63499.1,279
KPL08599.1,478
RKY59342.1,356
RMG00826.1,258
KPK87311.1,486
RMF97694.1,272
RLD29573.1,446
RLE23357.1,343
OFY59106.1,472
OFX37892.1,476
PKP12418.1,473
RMF69300.1,639
PKP29151.1,475
TDI86210.1,642
RKY81346.1,365
PHS54355.1,471
RKZ10375.1,676
RKZ14498.1,676
WP_109649145.1,478
5C2V_A,782
WP_099325812.1,809
OGV68884.1,819
TFH23488.1,446
WP_007222833.1,810
TLD39960.1,810
AEW50031.1,810
TVM01297.1,827
OOP56457.1,821
OHC06568.1,810
KAA0244393.1,825
WP_052562261.1,809
KXK32732.1,809
RIJ92455.1,809
KAA0244943.1,825
WP_146327607.1,810
WP_080325085.1,810
TVL96609.1,810
AEW50030.1,773
KKO20072.1,768
AEW50029.1,636
OHB38214.1,815
RZV91381.1,806
ODS33869.1,804
WP_096896276.1,807
OHB86033.1,806
AEW50032.1,806
KHE92665.1,821
AEW50027.1,437
AEW50026.1,431
QEE03876.1,444
QEE03900.1,444
AEW50000.1,431
ALI93539.1,444
QEE03894.1,444
QEE03885.1,444
ALI93540.1,444
QEE03892.1,444
AEW50001.1,431
ALI93541.1,444
QEE03869.1,444
QEE03880.1,444
QEE03873.1,444
QEE03891.1,444
QEE03872.1,444
ALI93542.1,444
QEE03886.1,444
QEE03878.1,444
QEE03898.1,444
QEE03871.1,444
QEE03874.1,444
QEE03868.1,444
QEE03870.1,444
QEE03884.1,444
QEE03888.1,444
AEW50022.1,437
ALI93543.1,444
ALI93544.1,444
AEW50002.1,431
AEW50004.1,431
ATP61956.1,435
AEW50005.1,431
AEW50021.1,431
ATP61966.1,434
ATP61967.1,434
ATP61969.1,434
ATP61968.1,434
ATP61964.1,434
ATP61955.1,433
AKD44173.1,444
AEW50003.1,431
AEW50007.1,431
AEW50014.1,431
ATP61965.1,434
AKD44171.1,444
AKD44178.1,444
ATP61958.1,434
ATP61949.1,431
AEW50006.1,431
AKD44174.1,444
AEW50017.1,431
AEW50008.1,431
ATP61963.1,434
ATP61957.1,432
AEW50013.1,431
ATP61946.1,431
AEW50016.1,431
AEW50012.1,431
AEW50015.1,431
AEW49999.1,406
ATP61947.1,427
ATP61950.1,431
ATP61953.1,427
ATP61971.1,431
AEW49994.1,423
ATP61948.1,428
ATP61962.1,416
ATP61960.1,415
ATP61945.1,427
AKD44193.1,444
AKD44200.1,444
AKD44175.1,444
QEE03875.1,444
ATP61961.1,415
AKD44202.1,444
AKD44181.1,444
AKD44168.1,444
AKD44194.1,444
AKD44170.1,444
AKD44191.1,444
AKD44192.1,444
ATP61959.1,415
QEE03879.1,444
AKD44169.1,444
QEE03895.1,444
AKD44184.1,444
QEE03883.1,444
AKD44182.1,444
QEE03896.1,444
AKD44172.1,444
QEE03889.1,444
QEE03899.1,444
QEE03887.1,444
ATP61972.1,416
ATP61951.1,411
AEW49998.1,405
AEW49997.1,405
ATP61954.1,411
AEW49996.1,405
ATP61952.1,398
AYG96447.1,383
ATP61973.1,384
AEW49995.1,423
AEW50023.1,343
ASV47372.1,330
ASV47354.1,331
ASV47412.1,330
ASV47415.1,331
ASV47362.1,331
ASV47357.1,331
ASV47449.1,330
ASV47351.1,331
ASV47359.1,331
ASV47432.1,330
ASV47423.1,330
ASV47398.1,331
ASV47489.1,330
ASV47334.1,331
ASV47439.1,330
ASV47385.1,331
ASV47452.1,331
ASV47404.1,331
ASV47493.1,331
ASV47402.1,331
ASV47397.1,331
ASV47347.1,331
ASV47429.1,331
ASV47345.1,331
ASV47438.1,330
ASV47368.1,331
ASV47417.1,331
ASV47348.1,331
ASV47346.1,331
ASV47364.1,331
ASV47378.1,331
ASV47419.1,331
ASV47376.1,331
ASV47389.1,331
ASV47405.1,331
ASV47424.1,330
ASV47433.1,331
ASV47481.1,330
ASV47361.1,331
ASV47375.1,331
ASV47450.1,331
ASV47496.1,331
ASV47413.1,331
ASV47377.1,331
ASV47483.1,330
ASV47482.1,330
ASV47428.1,331
ASV47470.1,330
ASV47379.1,331
ASV47451.1,330
ASV47431.1,331
ASV47336.1,330
ASV47332.1,329
ASV47335.1,331
ASV47437.1,331
ASV47358.1,330
ASV47380.1,331
ASV47492.1,331
ASV47473.1,331
ASV47466.1,330
ASV47488.1,330
ASV47440.1,330
ASV47420.1,330
ASV47430.1,330
ASV47340.1,331
ASV47469.1,330
ASV47341.1,331
